,auc
341,0.33333333333333337
342,0.7922806571815718
343,0.4511278195488722
344,0.3914141414141414
345,0.46390818483841745
346,0.25
347,0.19183673469387755
348,0.5051
349,0.19999999999999998
350,0.6058823529411765
351,0.21038786799845666
352,0.7631578947368421
353,0.45555555555555555
354,0.05555555555555554
355,0.4449899346781151
356,0.24342105263157895
357,0.4903846153846154
358,0.24767801857585142
359,0.6162926260565433
360,0.5306818181818181
361,0.42669172932330823
362,0.5588972431077693
363,0.6535303776683087
364,0.35487661574618096
365,0.631578947368421
366,0.7651515151515152
367,0.5638779824826338
368,0.6111111111111112
369,0.04489795918367347
370,0.5313000000000001
371,0.4800000000000001
372,0.5903831065795538
373,0.3839856050382366
374,0.7105263157894737
375,0.4138888888888889
376,0.6932490448214945
377,0.596217105263158
378,0.25641025641025644
379,0.5789473684210527
380,0.4590498396968814
381,0.5319548872180452
382,0.46616541353383456
383,0.6691297208538588
384,0.5537602820211516
385,0.5151515151515151
386,0.5270311084264573
387,0.7959183673469388
388,0.46499999999999997
389,0.72
390,0.365912110774528
391,0.729374718848403
392,0.7017543859649121
393,0.5861111111111111
394,0.5833333333333335
395,0.46039946318283276
396,0.1669407894736842
397,0.46474358974358976
398,0.24458204334365327
399,0.5606237248615564
400,0.5738636363636364
401,0.6033834586466165
402,0.4949874686716792
403,0.4014778325123153
404,0.38249118683901295
405,0.6111111111111112
406,0.5176767676767676
407,0.41498036846874053
408,0.5555555555555556
409,0.053061224489795916
410,0.43179999999999996
411,0.6799999999999999
412,0.38823529411764707
413,0.32222257405120525
414,0.4966261808367072
415,0.456140350877193
416,0.5319444444444444
417,0.02777777777777777
418,0.6317530093258288
419,0.7911184210526315
420,0.0608974358974359
421,0.5727554179566563
422,0.3567473039930049
423,0.49204545454545456
424,0.5112781954887218
425,0.5194235588972431
426,0.48357963875205257
427,0.27555816686251466
428,0.888888888888889
429,0.6078294376693767
430,0.5413533834586466
431,0.43536695862277264
432,0.7777777777777777
433,0.8816326530612245
434,0.4033
435,0.11999999999999997
436,0.27058823529411763
437,0.8161133569527858
438,0.728025191183086
439,0.5526315789473685
440,0.2569444444444445
441,0.8333333333333333
442,0.6727161305342152
443,0.537828947368421
444,0.3557692307692308
445,0.6130030959752322
446,0.2846109006120664
447,0.38068181818181823
448,0.5112781954887218
449,0.5588972431077694
450,0.5336617405582923
451,0.5793184488836661
452,0.7222222222222223
453,0.3451473577235772
454,0.45864661654135336
455,0.3813131313131313
456,0.6388888888888888
457,0.7591836734693878
458,0.4456
459,0.6000000000000001
460,0.5117647058823529
461,0.46577642206343006
462,0.6052631578947368
463,0.4652777777777778
464,0.0
465,0.5894615395149473
466,0.3026315789473684
467,0.16987179487179488
468,0.48297213622291024
469,0.5470708248324103
470,0.3534090909090909
471,0.5545112781954887
472,0.518796992481203
473,0.5960591133004927
474,0.2746768507638073
475,0.888888888888889
476,0.6842105263157894
477,0.8156565656565656
478,0.4661733615221987
479,0.6081632653061225
480,0.3597
481,0.6799999999999999
482,0.830783159588454
483,0.44039586144849296
484,0.4385964912280702
485,0.41388888888888886
486,0.888888888888889
487,0.5423085877052436
488,0.3972039473684211
489,0.3525641025641026
490,0.8513931888544892
491,0.3634508889536578
492,0.2034090909090909
493,0.7030075187969925
494,0.518170426065163
495,0.7450738916256158
496,0.5799059929494712
497,0.16666666666666669
498,0.8184281842818429
499,0.30827067669172936
500,0.3535353535353535
501,0.4436726064633042
502,0.5
503,0.5239
504,0.72
505,0.6058823529411765
506,0.660347524941743
507,0.3511470985155196
508,0.3157894736842105
509,0.3736111111111111
510,0.6111111111111112
511,0.4187773030415075
512,0.5929276315789473
513,0.2467948717948718
514,0.4705882352941177
515,0.7314194112503642
516,0.3829545454545454
517,0.30075187969924816
518,0.5219298245614035
519,0.493431855500821
520,0.7649823736780258
521,0.5
522,0.6346968157181573
523,0.2556390977443609
524,0.19444444444444445
525,0.5157052250075506
526,0.2222222222222222
527,0.3469387755102041
528,0.76
529,0.7000000000000001
530,0.5361114336210121
531,0.6609086819613136
532,0.6228070175438596
533,0.6125
534,0.9444444444444445
535,0.5711094449693932
536,0.33963815789473684
537,0.6987179487179487
538,0.6594427244582044
539,0.3153599533663655
540,0.6931818181818181
541,0.5601503759398496
542,0.5006265664160401
543,0.5205254515599343
544,0.5987074030552292
545,0.38888888888888895
546,0.8636941056910569
547,0.5939849624060151
548,0.14898989898989898
549,0.4418604651162791
550,0.19444444444444442
551,0.8979591836734694
552,0.49410000000000004
553,0.39411764705882346
554,0.6988648824246178
555,0.48245614035087725
556,0.5430555555555555
557,0.2777777777777778
558,0.473475822686003
559,0.290296052631579
560,0.4583333333333333
561,0.4953560371517028
562,0.48426114835324974
563,0.2943181818181818
564,0.6259398496240601
565,0.512531328320802
566,0.31403940886699505
567,0.7585193889541716
568,0.24060150375939848
569,0.3813131313131313
570,0.5163092721232255
571,0.5795918367346939
572,0.5466
573,0.15999999999999998
