abc,means,variances
457,2528.8646816666665,8952993.454282284
466,3170.345903375001,11799394.665598592
477,666.5037133333333,439748.17524186353
479,2007.3374299166674,6346102.03441262
483,2804.600071250001,13028604.724136775
485,136.58697333333333,18290.491211036115
486,1704.34387125,3735061.571140496
493,1127.0804225,869029.97350438
495,656.7624666666667,1326631.893734143
498,342.7530620416667,96312.17697411489
499,1292.3687770833333,1637279.0613369197
501,1852.3967166666664,1102968.7443326933
503,4148.599175,27950847.666903477
505,460.16113208333326,1343920.284856871
507,674.2362787500001,426938.1564912928
511,1036.6022237500001,1271656.4995038144
513,269.1412966666666,72811.95710644757
515,897.7853295833332,694378.175421659
517,473.5569529166666,1163106.1826384657
524,4034.6212054166667,16675384.146478029
525,3138.209860416667,11577917.275788292
531,539.9681666666665,586992.6358672306
532,4331.928375,8150593.922560152
536,9629.582237208335,112267785.5853113
539,580.74347,133342.1618439973
540,2136.370700416667,8911418.978262963
541,2522.538260416666,9967556.723224541
542,974.6828633333331,968540.9108018171
543,2868.7230925,28416111.372109484
546,140.3632816666666,6121.878442921581
549,1244.740465875,2895545.021809092
550,148.47135375,5235.29020568914
553,1349.0505834583334,3562334.083857083
554,281.2589500000001,25685.625312739594
555,489.43674375,114777.02754619169
556,4428.494504166666,16839107.45995228
557,723.1196791666667,439907.56188189826
560,610.0951779166666,418979.9907811468
562,1137.8245766625,2195805.949373623
563,1193.5219249999998,1689719.6323332458
566,273.1088320833333,11786.220665300425
570,661.5882916666666,2605715.5522364
572,280.71013124999996,532925.1279346122
573,6400.3191440833325,45909600.01917707
578,457.060807625,770655.9306322355
587,5949.980017083334,38879647.35585276
588,475.54981625,225986.5211775001
592,9299.671858333335,83476415.89424327
594,7381.647833333335,48565909.95308548
597,826.1188874999999,463181.73674762197
598,2257.6713499999996,3875297.124580111
599,3610.662883333334,9996635.350587651
604,409.3548765833332,633508.2704624276
605,833.1346208333334,284976.91138800496
606,4434.155137500001,19888352.248257738
607,839.0193549999999,765766.1621288034
608,5271.309254166666,16418896.381622022
609,1137.1651708333336,1764266.5550841994
612,1152.179645833333,1626123.7506798126
