,AUC
119,0.41937669376693765
120,0.5006265664160401
121,0.5061224489795918
122,0.4352941176470589
123,0.4346453497808797
124,0.5724
125,0.3055555555555555
126,0.5884581754590498
127,0.3409090909090909
128,1.0
129,0.6860902255639098
130,0.934984520123839
131,0.5664451827242526
132,0.575795690564064
133,0.4587337909992372
134,0.37777777777777777
135,0.32352941176470584
136,0.4555137844611528
137,0.6365131578947368
138,0.49720959800898124
139,0.5699000000000001
140,0.5699177438307873
141,0.6666666666666666
142,0.6850772369571553
143,1.0
144,0.7067669172932332
145,0.8637770897832817
146,0.5678042887345213
147,0.639075358249862
148,0.46987032799389783
149,0.35138888888888886
150,0.4448979591836735
151,0.4774436090225564
152,0.2882352941176471
153,0.40460526315789475
154,0.48168384461396957
155,0.5755000000000001
156,0.5837250293772032
157,0.75
158,0.6863888079277177
159,0.398989898989899
160,0.8782051282051282
161,0.7067669172932332
162,0.9226006191950464
163,0.518796992481203
164,0.5366673234141015
165,0.3533180778032037
166,0.39722222222222225
167,0.5517970401691332
168,0.4786967418546366
169,0.4235294117647059
170,0.48519736842105265
171,0.526746199210085
172,0.607
173,0.2222222222222222
174,0.6923637423491693
175,0.891025641025641
176,0.6973684210526316
177,0.9009287925696594
178,0.5112781954887218
179,0.5548378244303009
180,0.3406559877955758
181,0.39722222222222225
182,0.5471156750226518
183,0.4805764411027569
184,0.4530612244897959
185,0.33529411764705885
186,0.3848684210526316
187,0.5093457501487854
188,0.6104
189,0.5277777777777778
190,0.6576799766831828
191,0.35101010101010105
192,0.8141025641025641
193,0.6917293233082706
194,0.5112781954887218
195,0.5362428269405013
196,0.48764904355290983
197,0.30511060259344014
198,0.3861111111111112
199,0.5102040816326531
200,0.48245614035087725
201,0.35294117647058826
202,0.49459841475950883
203,0.6088
204,0.25
205,0.6005537744097931
206,0.3156565656565657
207,0.618421052631579
208,0.8328173374613004
209,0.5496828752642706
210,0.5053929519272606
211,0.4074752097635393
212,0.37777777777777777
213,0.7142857142857143
214,0.47681704260651636
215,0.30000000000000004
216,0.4773704214683764
217,0.5812
218,0.607520564042303
219,0.7222222222222222
220,0.5460507140775284
221,0.24494949494949497
222,0.9647435897435898
223,0.6447368421052632
224,0.5703714889761402
225,0.3152660354854713
226,0.5060259344012205
227,0.3791666666666667
