,means,variances
2661,2.154741382833333,5.667051038196162
2662,0.016565123833333334,0.0003178862164636625
2663,41.44891461,1225.2392020655918
2664,0.05731198341666666,0.0011528533013382921
2665,0.020157941833333335,0.00035989759353767314
2666,0.003999890916666666,1.704588126734026e-05
2667,0.03782853691666666,0.0010951513727308515
2668,0.0068909068333333325,8.121142800820343e-05
2669,0.04802760233333333,0.0006992632721661483
2670,0.0030501556666666665,1.5726594256682608e-05
2671,1.4584451219166665,4.06874083589747
2672,0.0075839455000000005,7.430833886598246e-05
2673,0.0028124355000000005,1.4073092809148456e-05
2674,0.02269340241666666,0.0008646999232865177
2675,0.02924865241666667,0.000896522483091064
2676,0.010194063916666666,0.00010317024494822027
2677,0.17944170716666666,0.023163123508816198
2678,0.004219984833333333,1.998849577605179e-05
2679,0.004294294416666666,4.849824029858063e-05
2680,0.17205398708333333,0.05359283266387071
2681,0.0047768306666666665,3.0030046520872978e-05
2682,1.0139140530000001,0.3408347261292332
2683,0.0035267678333333334,4.7633875058771066e-05
2684,0.006097223833333333,0.00010132654857422015
2685,0.5698779558333333,0.047597273544596634
2686,0.0017444036666666666,2.7319368130740604e-06
2687,0.0012698654166666665,5.0613002131742454e-09
2688,0.026902417416666668,0.00032560490634064154
2689,0.006856238,0.00011734673415311854
2690,0.09555854958333333,0.014008132479586098
2691,0.17058488883333336,0.0030356179229109608
2692,0.008989713666666664,0.00010117918788734716
2693,0.017616268333333334,0.0003199859594931635
2694,0.00505738675,3.8990315284636206e-05
2695,0.303284143,0.03147432106935689
2696,0.06573057691666669,0.0013827382630997385
2697,0.25152577583333335,0.039403994383770055
2698,0.011210120916666665,0.00018826846029545028
2699,0.018453602333333333,0.0003840430793980669
2700,0.0014909585,7.240003201470002e-07
2701,0.03779390683333333,0.002152784231392681
2702,0.0023451081666666664,1.4012698783059969e-05
2703,0.12533050533333334,0.018169194147083553
2704,0.018777562416666668,0.0004564932068911277
2705,0.025449518416666667,0.0012073202282085588
2706,0.006272162416666667,7.419511289543336e-05
2707,0.006309500916666668,0.00011955532440786608
2708,0.02605380833333333,0.0010153909176339052
2709,0.0038222321666666666,1.3646938143961607e-05
2710,0.22418567341666665,0.050452787672160014
2711,0.020209406416666666,0.0004032097682639946
2712,0.11619330191666666,0.01596286899232829
2713,0.051434000416666674,0.0015961956689946447
2714,0.0187919535,0.00016148179700923484
2715,0.012114425083333333,0.0002801975795680841
2716,0.026999260833333334,0.0010175497615509978
2717,0.005401926333333334,3.88516949117715e-05
2718,0.05951425625,0.002557465853704094
2719,0.0044001748333333335,3.263046570091088e-05
2720,0.04327706166666668,0.0009819542375354771
2721,0.00299081225,7.721992174957476e-06
2722,0.19643328000000002,0.09177394146837904
2723,0.034410065249999996,0.0007333223699398741
2724,0.02761832666666667,0.0006533663604275959
2725,0.0069446295000000005,7.424910001472883e-05
2726,0.02397336016666667,0.0004253454065659796
2727,1.4629652276666667,0.34723552144406394
2728,0.005909902166666667,5.291765506413196e-05
2729,0.04077222233333334,0.001087459297681388
2730,0.04347303,0.0034805432582666173
2731,0.013381741333333334,0.00022963473543379805
2732,0.8698699511666667,0.8476553799439771
2733,0.012056562416666668,0.00025953237254389394
