,Asakura2020,Bianchi2011,Boeri2011,Chen2019,Duan2021,Fehlman2020,Halvorsen2016,Jin2017,Keller2009,Keller2014,Keller2020,Kryczka2021,Leidinger2011,Leidinger2014,Leidinger2015,Leidinger2016,Li2017,Marzi2016,Nigita2018,Patnaik2012,Patnaik2017,Qu2017,Reis2020,Wozniak2015,Yao2020,Zaporozhchenko2018
Leidinger2016,0.18404940472614506,-0.17463488479448017,0.053157377393845254,0.246264686791079,0.020091947025901204,-0.7079054563267606,0.26251752382080007,0.0405302845114375,-0.29535142373235757,-0.4358597091557017,-0.13109126486068345,*,-0.5018934232503536,0.3755482330261004,-0.2143338498432713,*,-0.13547018096312,0.1483859677663754,0.1556306007893714,-0.48234266488526667,-0.08729293255219356,-0.14905748734742563,-0.3859382883974378,-0.14849495711309435,-0.2570375015859977,0.0029334269774394586
Li2017,0.062443860954639975,*,0.5675421100668353,-0.05004967599954554,-0.24570763790220265,0.16972203951982714,0.031856471391539264,-0.11804900053398018,0.23421715028337023,0.2557391838858447,-0.15448288197128454,*,0.29844459870231727,0.1538396373748917,0.28469834513641173,-0.13547018096312,*,*,0.6371931728294842,0.4517990929135221,0.1426143732911042,0.6845333902327877,0.08029238384109738,0.2172891519094885,0.1276044896874419,*
Marzi2016,-0.020898002344267995,-0.6971344335010775,0.26285601743549086,-0.18836443950921683,*,0.398734507566091,0.26555455114481985,-0.3283649254618673,-0.1039346726700188,-0.02215280448705241,*,*,0.1443153020324872,-0.6157062215741419,0.6559546036601095,0.1483859677663754,*,*,*,0.005238523590838081,-0.2729985020224035,*,0.16333527030374184,-0.010967858398406907,0.35127907554554233,*
Nigita2018,0.11786111743241001,0.5012687292395556,-0.02367547039184674,0.1612136561929441,0.12506117758303914,-0.08872670473469567,-0.2311946432133407,0.019211232338301673,-0.12140379522392482,-0.10139616458829602,-0.0326732704168068,*,-0.04395205664817105,-0.1805795706429481,0.05907505736525491,0.1556306007893714,0.6371931728294842,*,*,-0.09648960319829628,-0.10566391962521819,0.09587631763984665,0.007307511975205415,0.224288718178597,0.09281234019354459,-0.1481911520835768
Patnaik2012,-0.07665809343144359,0.1476520038393389,-0.27294332809308325,-0.27879358848866953,0.024093810703211302,0.4628596712644825,-0.07467058381458515,-0.1736800323629959,0.19838445686638245,0.1551148122486965,-0.04032248389375556,*,0.1281600174063837,0.057416003069917045,0.010571191241197996,-0.48234266488526667,0.4517990929135221,0.005238523590838081,-0.09648960319829628,*,0.11379168367456162,0.6611789111286667,0.27374888657107194,0.2701130360834169,-0.19466387578570668,0.1645458139402879
Patnaik2017,-0.030257677305386796,0.05880414805398372,0.11299583931198381,-0.13137214450451318,-0.030910762871439505,0.10719722370373022,0.0702132993847593,-0.0461820475453289,0.1865622598949774,0.1284079108312319,0.006512940836125499,*,0.12665126292055287,0.05526106550901413,0.018064535530679143,-0.08729293255219356,0.1426143732911042,-0.2729985020224035,-0.10566391962521819,0.11379168367456162,*,0.033336922967156804,-0.05699910474023252,-0.004258247440078412,-0.11468762428686659,0.1900179441535144
Qu2017,-0.13556807811720795,*,0.43268687750062196,-0.010477612827551379,-0.07112103300588044,0.4594179690377972,-0.3622593783207917,-0.07449761099395183,0.21864414656189415,0.17590663349201296,-0.05322054700454338,*,0.4418952884860015,0.06317414745856458,0.31857521688455315,-0.14905748734742563,0.6845333902327877,*,0.09587631763984665,0.6611789111286667,0.033336922967156804,*,0.47048361325467425,0.6740312476919622,0.44718243321806467,*
Reis2020,-0.08025897303087146,0.08139369844684691,0.1384405345361293,0.02184685537682378,0.10383052365780385,0.2661574441162282,-0.07728518650054188,0.022557621371082186,0.08156683779402114,-0.033265300330665305,0.03862260288447701,*,0.052915539857723105,-0.047185369163661346,0.21594088264880643,-0.3859382883974378,0.08029238384109738,0.16333527030374184,0.007307511975205415,0.27374888657107194,-0.05699910474023252,0.47048361325467425,*,0.24687127582253296,0.24360778268063216,0.05773711485695168
Wozniak2015,-0.052105244973154004,0.2892978182909107,0.007300633583643565,-0.03309538799164795,0.013804773688247188,0.13085950254185008,-0.02857105631314384,-0.011676369252871872,0.09346013936665098,0.002719047394295804,0.10850323729652922,*,0.012085658869282378,-0.01634520311247394,0.11380261995242391,-0.14849495711309435,0.2172891519094885,-0.010967858398406907,0.224288718178597,0.2701130360834169,-0.004258247440078412,0.6740312476919622,0.24687127582253296,*,0.1064882781143129,0.08993391020108857
Yao2020,-0.008797626223451796,0.21956426260943915,0.1181472681875581,0.2405011428752621,0.20609661574932722,0.19381116853283412,-0.17107387437782748,0.1763002782715918,0.049214498264397395,0.1555068653777898,0.09631797684847442,*,0.08858234916186986,-0.24099249863741368,0.0981496236027581,-0.2570375015859977,0.1276044896874419,0.35127907554554233,0.09281234019354459,-0.19466387578570668,-0.11468762428686659,0.44718243321806467,0.24360778268063216,0.1064882781143129,*,-0.08637511556011071
Zaporozhchenko2018,-0.17515128500928667,*,-0.1985550473777236,-0.21792314558690545,0.37567143903835554,-0.03249226085734847,-0.040930912560457756,0.1666499232917086,-0.18901961452340882,-0.009891483916861808,0.15827405703969377,*,0.022153413320654847,-0.25982225362866607,0.03638749058966476,0.0029334269774394586,*,*,-0.1481911520835768,0.1645458139402879,0.1900179441535144,*,0.05773711485695168,0.08993391020108857,-0.08637511556011071,*
