means,variances,type
-0.6800839455251071,6.926564967135235,Sample points
-0.4977244673194454,7.487631328968276,Sample points
0.48863093314529954,9.20462644431427,Sample points
4.127603327226503,3.493463973337428,Sample points
3.314659316467411,3.4468926573715586,Sample points
4.786418671768955,3.5743037291297846,Sample points
2.2812073157393162,4.375455417909905,Sample points
1.3314893918071578,6.832069182869739,Sample points
4.4183312118213145,1.7444990204353585,Sample points
6.210751009354449,0.7641007236113516,Sample points
7.864656664025108,0.24387986580559604,Sample points
-0.1689307101316778,7.658836760987497,Sample points
1.5602195540723791,7.164915557933058,Sample points
6.121321337440971,0.885677512006478,Sample points
0.0391029683400106,7.6791617560284005,Sample points
6.3833285972628095,0.6532273167717634,Sample points
0.15798794873210525,7.582905358680372,Sample points
6.898668911354193,2.7742819040303908,Sample points
12.666407820470054,0.09206777727044689,Sample points
0.9871672203603093,6.108145788455818,Sample points
0.512594029622866,8.416832768715052,Sample points
1.4348774949177352,8.74646128911437,Sample points
0.8406368327737737,7.64014325184425,Sample points
1.1386075573068903,6.951095842123342,Sample points
1.839141327783383,5.215828250234859,Sample points
2.6967605390317884,4.1039602530482275,Sample points
3.026894152389148,3.7448648626259877,Sample points
1.846892068065171,6.328466665596904,Sample points
6.225117153684829,3.325041039591074,Sample points
1.5242636403223848,8.70662642886744,Sample points
0.9899472854372319,8.956251624165896,Sample points
1.674684342394229,5.221437088078835,Sample points
-0.15766209568830067,6.784391645051148,Sample points
2.0274588332315715,4.474187211972936,Sample points
-0.09939142924091951,7.587596151049705,Sample points
1.2029231512732326,6.902302567936602,Sample points
-0.5068771858325323,6.814349706508676,Sample points
-0.3094835657235576,6.883127748285448,Sample points
1.927400827815973,4.555764898824174,Sample points
0.9353370620064126,5.8653712340004445,Sample points
3.6990127298944997,2.9711798447775184,Sample points
4.645264203509627,2.0801717646602174,Sample points
6.262068120127136,0.42041389523455513,Sample points
3.9397540072024513,2.5525146893004766,Sample points
0.5735652983525622,5.05183659932738,Sample points
3.195917251160258,5.247911940417111,Sample points
-0.062272556600426604,5.6216547306468945,Sample points
7.862339261105249,0.5037271861643656,Sample points
4.846417409333608,1.771939178249278,Sample points
5.226344553131683,3.3067469548532458,Sample points
1.7403155265467407,5.165642578823199,Sample points
5.6721003778814145,1.0975117520074273,Sample points
1.833408489587869,5.597313749387369,Sample points
5.258409904848314,1.3982024464858853,Sample points
-0.802180541436966,6.520114724516866,Sample points
-0.7029637895422023,6.370648832410554,Sample points
0.8449151644441795,6.443523285867113,Sample points
3.0402209392905952,3.228127807409377,Sample points
3.486400908045669,3.052938755528571,Sample points
0.46319748297783053,6.938606432581623,Sample points
0.11371826816746779,7.309173217692933,Sample points
1.5533011894837119,12.725706556768394,Sample points
5.151027418442318,5.7316664852327985,Sample points
2.200858977011221,4.6556289560569875,Sample points
1.5477623159241447,5.099580247082619,Sample points
4.536589657333052,1.6010126220659098,Sample points
-0.12526613115277743,6.3395020615929205,Sample points
-0.6550772513015501,7.248157141298153,Sample points
-0.5146628225256421,6.938301160215035,Sample points
-0.3843823696087067,6.836778807693248,Sample points
-0.2148713853055541,8.22027390017523,Sample points
0.2314086687475968,7.663455518111204,Sample points
1.3434953674585988,9.497059367454037,Sample points
0.11753496799118678,8.016143434372669,Sample points
-0.7403066292264967,6.306727844879056,Sample points
-0.8837777286931086,6.039510520390513,Sample points
-0.9483056539714214,5.841026703191066,Sample points
-0.16515682219738084,7.10084539174179,Sample points
1.9874834380528892,4.547409959750756,Sample points
-0.5789305459877144,6.207768019630381,Sample points
11.889649910237718,0.524832016827991,Sample points
5.192344887544863,1.5274680438375456,Sample points
0.18383366151976596,7.984508362213435,Sample points
0.5448209137986124,7.148564645973835,Sample points
-0.502311654282586,6.9048176729117205,Sample points
1.7516492593648503,4.144905817676068,Sample points
3.2470287119404384,3.1893876378744435,Sample points
-0.16820983142788562,6.788988035310525,Sample points
1.8923226043365402,4.113619499636268,Sample points
0.0908221004826386,6.373063339163446,Sample points
-0.6030521361551823,6.850600971069265,Sample points
5.414459986930551,1.1518277902848584,Sample points
0.31710228304968247,7.5538736347430335,Sample points
4.154892261108431,2.2046600231055073,Sample points
7.385281322941505,0.7445521263576609,Sample points
-0.4668175144994658,6.991130637671559,Sample points
-0.3712826249110581,6.862257880099854,Sample points
4.820893774316491,1.970849963060339,Sample points
5.345267347680564,0.8877597320988068,Sample points
3.5363312425897404,3.4887348675821364,Sample points
8.963736309245997,0.5056103264399772,Sample points
3.6671450545499438,3.1720316583614734,Sample points
0.6445423351145848,6.8204179440889945,Sample points
0.9038264179043841,7.092678828018259,Sample points
1.093853024379808,6.8647838874548395,Sample points
0.9242067938787402,6.216829926131891,Sample points
3.2805228943979623,3.0255734832731576,Sample points
0.6047397379206737,7.02026349775317,Sample points
6.59992194471048,1.1478196799787959,Sample points
1.3772267626931127,6.7027032012083865,Sample points
1.3579519379041116,7.500122328558724,Sample points
0.44990788539076143,7.478802500513873,Sample points
-0.6812898845876081,6.003857285726421,Sample points
-0.5647882720320517,5.818619901000565,Sample points
1.0447508667187526,4.643047756918845,Sample points
-0.4305487667946043,6.476626748119658,Sample points
-0.1799468587326396,6.423387946846197,Sample points
0.32236076469711683,6.492840950556739,Sample points
0.8143090498496255,5.093322158991155,Sample points
1.3631763106864292,15.776992157049031,Sample points
