,double
708,0.3306122448979592
709,0.4981
710,0.6294117647058823
711,0.44971307762005436
712,0.861111111111111
713,0.05306122448979592
714,0.47915
715,0.538235294117647
716,0.19444444444444445
717,0.04489795918367348
718,0.5138
719,0.32
720,0.4176470588235295
721,0.363265306122449
722,0.4594
723,0.6176470588235294
724,0.5134000000000001
725,0.28823529411764703
726,0.32941176470588235
727,0.2631578947368421
728,0.6185897435897436
729,0.5015479876160991
730,0.6157097056251821
731,0.29888888888888887
732,0.505639097744361
733,0.4636591478696742
734,0.3398942420681551
735,0.16666666666666666
736,0.5504319105691057
737,0.3082706766917293
738,0.7171717171717171
739,0.6019329507701602
740,0.6388888888888888
741,0.6489795918367347
742,0.4076
743,0.52
744,0.5
745,0.3846153846153846
746,0.49226006191950467
747,0.5332264645875837
748,0.7222222222222223
749,0.3900375939849624
750,0.4426691729323308
751,0.6023795534665101
752,0.16666666666666666
753,0.5
754,0.47744360902255645
755,0.6363636363636365
756,0.5350347327091514
757,0.2777777777777778
758,0.24897959183673468
759,0.5265
760,0.5
761,0.7411764705882353
762,0.21826625386996906
763,0.38137569221801226
764,0.4733333333333333
765,0.37969924812030076
766,0.4946741854636592
767,0.5790246768507639
768,0.7500000000000001
769,0.5
770,0.556390977443609
771,0.3813131313131313
772,0.48036846874056177
773,0.5
774,0.22244897959183674
775,0.4472
776,0.24
777,0.5058823529411764
778,0.7680705333721947
779,0.2816666666666667
780,0.5836466165413534
781,0.5629699248120301
782,0.4678319623971797
783,0.22222222222222224
784,0.583079268292683
785,0.6390977443609023
786,0.5997474747474747
787,0.5158562367864692
788,0.3472222222222222
789,0.4326530612244899
790,0.5992500000000001
791,0.32000000000000006
792,0.5882352941176471
793,0.33999999999999997
794,0.7744360902255639
795,0.4949874686716792
796,0.49250881316098705
797,0.11111111111111112
798,0.5818089430894309
799,0.6090225563909775
800,0.6792929292929293
801,0.5264270613107823
802,0.36111111111111105
803,0.20816326530612245
804,0.5307000000000001
805,0.36
806,0.4470588235294118
807,0.650375939849624
808,0.5407268170426065
809,0.6624559341950647
810,0.25
811,0.612781954887218
812,0.6679292929292929
813,0.4950166112956811
814,0.6111111111111112
815,0.8857142857142857
816,0.40065
817,0.16000000000000003
818,0.5852941176470589
819,0.5294486215538847
820,0.7144535840188013
821,0.5833333333333335
822,0.5
823,0.6578947368421052
824,0.5681818181818182
825,0.5240108728480821
826,1.0
827,0.7836734693877552
828,0.42445
829,0.36
830,0.6705882352941176
831,0.6565804935370153
832,0.25
833,0.5
834,0.5488721804511278
835,0.2904040404040404
836,0.5525520990637269
837,0.2777777777777778
838,0.0816326530612245
839,0.4306
840,0.5800000000000001
841,0.6852941176470587
842,0.47222222222222227
843,0.7105263157894737
844,0.7424242424242424
845,0.5089096949562065
846,0.3333333333333333
847,0.25306122448979596
848,0.5636000000000001
849,0.62
850,0.6705882352941176
851,0.5
852,0.2803030303030303
853,0.48376623376623373
854,0.19444444444444445
855,0.07755102040816327
856,0.52
